Fname,Lname,Goals Scored,Assists,Total Points,Minutes,Goals Conceded,Clean Sheets
Matty,James,0,0,26,991,15,4
Aleksandar,Dragovic,0,0,28,766,14,4
Hamza,Choudhury,0,1,13,375,9,0
George,Thomas,0,0,0,0,0,0
Adrien Sebastian,Perruchet Silva,0,2,23,760,18,1
Fousseni,Diabaté,0,1,21,579,12,0
Harvey,Barnes,0,0,3,8,0,0
Sam,Hughes,0,0,0,0,0,0
Layton,Ndukwu,0,0,0,0,0,0
Alex,Oxlade-Chamberlain,3,7,94,1718,28,5
Simon,Mignolet,0,0,67,1710,24,7
Loris,Karius,0,0,88,1710,14,10
Dejan,Lovren,2,1,110,2124,24,11
Alberto,Moreno,0,1,52,1264,19,6
Nathaniel,Clyne,0,0,7,173,1,1
Joseph,Gomez,0,2,86,1901,22,9
Joel,Matip,1,0,81,1995,27,9
Ragnar,Klavan,1,0,78,1449,15,8
James,Milner,0,3,77,1759,25,6
Trent,Alexander-Arnold,1,2,83,1573,17,8
Leiva,Lucas,0,0,0,0,0,0
Jordan,Henderson,1,1,75,2169,21,14
Philippe,Coutinho,7,7,103,1109,14,5
Emre,Can,3,6,92,2089,29,8
Adam,Lallana,0,0,13,234,1,1
Oluwaseyi,Ojo,0,0,0,0,0,0
Sadio,Mané,10,8,147,2189,24,15
Marko,Grujic,0,0,3,14,0,0
Georginio,Wijnaldum,1,2,85,2381,23,15
Ben,Woodburn,0,0,1,6,0,0
Mohamed,Salah,32,12,303,2905,29,15
Roberto,Firmino,15,8,181,2760,32,16
Danny,Ings,1,1,18,262,0,3
Divock,Origi,0,0,1,9,1,0
Dominic,Solanke,1,2,38,581,4,3
Virgil,van Dijk,0,0,78,2253,28,8
Andrew,Robertson,1,5,111,1940,18,10
Jon,Flanagan,0,0,0,0,0,0
Danny,Ward,0,0,0,0,0,0
Conor,Masterson,0,0,0,0,0,0
Curtis,Jones,0,0,0,0,0,0
Rafael,Camacho,0,0,0,0,0,0
Ederson,Santana de Moraes,0,0,158,3195,26,16
Claudio,Bravo,0,0,10,224,1,1
John,Stones,0,0,70,1301,11,9
Aleksandar,Kolarov,0,0,0,0,0,0
Vincent,Kompany,1,1,60,1394,11,6
Nicolás,Otamendi,4,0,156,2966,25,15
Fabian,Delph,1,2,55,1740,17,6
Raheem,Sterling,18,17,229,2584,23,13
David,Silva,9,11,169,2431,18,14
Gnegneri Yaya,Touré,0,2,16,227,2,0
Fernando,Luiz Rosa,5,4,120,2880,24,15
Fernando Francisco,Reges,0,0,0,0,0,0
Kevin,De Bruyne,8,18,209,3073,22,19
Ilkay,Gündogan,4,2,82,1504,15,6
Manuel,Agudo Durán,0,0,0,0,0,0
Leroy,Sané,10,15,179,2415,22,12
Bernardo Mota,Veiga de Carvalho e Silva,6,5,112,1514,10,9
Sergio,Agüero,21,6,169,1960,12,13
Gabriel Fernando,de Jesus,13,7,126,1660,12,9
Kyle,Walker,0,6,138,2784,22,15
Danilo Luiz,da Silva,3,2,100,1340,11,9
Benjamin,Mendy,0,1,20,360,1,2
Phil,Foden,0,1,8,45,1,0
Brahim,Diaz,0,0,5,50,1,0
Oleksandr,Zinchenko,0,0,16,530,3,3
Oluwatosin,Adarabioyo,0,0,0,0,0,0
Aymeric,Laporte,0,0,35,806,5,4
Lukas,Nmecha,0,0,2,14,0,0
Alexis,Sánchez,9,10,152,2546,32,11
Nemanja,Matic,1,1,91,3117,26,16
David,De Gea,0,0,172,3330,28,18
Sergio,Romero,0,0,7,90,0,1
Joel Dinis,Castro Pereira,0,0,0,0,0,0
